hour_index_0based,local_ac_w,official_replay_ac_w,absolute_difference_w,exact_match
411,0.0,0.0,0.0,True
412,0.0,0.0,0.0,True
413,0.0,0.0,0.0,True
414,0.0,0.0,0.0,True
415,5.677,5.677,0.0,True
416,40.657,40.657,0.0,True
417,341.571,341.571,0.0,True
418,229.845,229.845,0.0,True
419,336.685,336.685,0.0,True
420,323.967,323.967,0.0,True
421,335.971,335.971,0.0,True
422,374.512,374.512,0.0,True
423,211.358,211.358,0.0,True
424,24.767,24.767,0.0,True
425,0.0,0.0,0.0,True
426,0.0,0.0,0.0,True
427,0.0,0.0,0.0,True
428,0.0,0.0,0.0,True
429,0.0,0.0,0.0,True
430,0.0,0.0,0.0,True
431,0.0,0.0,0.0,True
432,0.0,0.0,0.0,True
433,0.0,0.0,0.0,True
434,0.0,0.0,0.0,True
435,0.0,0.0,0.0,True
436,0.0,0.0,0.0,True
437,0.0,0.0,0.0,True
438,0.0,0.0,0.0,True
439,14.437,14.437,0.0,True
440,91.575,91.575,0.0,True
441,17.83,17.83,0.0,True
442,100.534,100.534,0.0,True
443,15.206,15.206,0.0,True
444,51.284,51.284,0.0,True
445,76.837,76.837,0.0,True
446,174.935,174.935,0.0,True
447,82.412,82.412,0.0,True
448,108.075,108.075,0.0,True
449,0.0,0.0,0.0,True
450,0.0,0.0,0.0,True
451,0.0,0.0,0.0,True
452,0.0,0.0,0.0,True
453,0.0,0.0,0.0,True
454,0.0,0.0,0.0,True
455,0.0,0.0,0.0,True
456,0.0,0.0,0.0,True
457,0.0,0.0,0.0,True
458,0.0,0.0,0.0,True
459,0.0,0.0,0.0,True
460,0.0,0.0,0.0,True
461,0.0,0.0,0.0,True
462,0.0,0.0,0.0,True
463,5.706,5.706,0.0,True
464,13.468,13.468,0.0,True
465,32.265,32.265,0.0,True
466,73.182,73.182,0.0,True
467,139.906,139.906,0.0,True
468,51.117,51.117,0.0,True
469,85.122,85.122,0.0,True
470,22.947,22.947,0.0,True
471,12.576,12.576,0.0,True
472,9.756,9.756,0.0,True
473,0.0,0.0,0.0,True
474,0.0,0.0,0.0,True
475,0.0,0.0,0.0,True
476,0.0,0.0,0.0,True
477,0.0,0.0,0.0,True
478,0.0,0.0,0.0,True
479,0.0,0.0,0.0,True
480,0.0,0.0,0.0,True
481,0.0,0.0,0.0,True
482,0.0,0.0,0.0,True
483,0.0,0.0,0.0,True
484,0.0,0.0,0.0,True
485,0.0,0.0,0.0,True
486,0.0,0.0,0.0,True
487,32.501,32.501,0.0,True
488,153.018,153.018,0.0,True
489,272.003,272.003,0.0,True
490,643.741,643.741,0.0,True
491,706.334,706.334,0.0,True
492,515.179,515.179,0.0,True
493,651.405,651.405,0.0,True
494,344.047,344.047,0.0,True
495,239.474,239.474,0.0,True
496,79.688,79.688,0.0,True
497,0.0,0.0,0.0,True
498,0.0,0.0,0.0,True
499,0.0,0.0,0.0,True
500,0.0,0.0,0.0,True
501,0.0,0.0,0.0,True
502,0.0,0.0,0.0,True
503,0.0,0.0,0.0,True
504,0.0,0.0,0.0,True
505,0.0,0.0,0.0,True
506,0.0,0.0,0.0,True
507,0.0,0.0,0.0,True
508,0.0,0.0,0.0,True
509,0.0,0.0,0.0,True
510,0.0,0.0,0.0,True
511,102.146,102.146,0.0,True
512,345.82,345.82,0.0,True
513,511.814,511.814,0.0,True
514,611.926,611.926,0.0,True
515,673.941,673.941,0.0,True
516,681.96,681.96,0.0,True
517,631.357,631.357,0.0,True
518,525.397,525.397,0.0,True
519,363.018,363.018,0.0,True
520,130.232,130.232,0.0,True
