controller,seed,day,step,p,soc,grid_import,grid_export,grid_violation,qp_execution_path,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step,mpc_status,mpc_fallback,runtime_ms
PPO-QP,20260805,300,24,0.0,25.0,153.92157743917903,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0080233772053664e-11,123.92157743917902,30.0,25.0,125.0,72,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.6493000002810732
PPO-QP,20260805,300,25,0.0,25.0,149.45820639836492,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0080233772053664e-11,119.45820639836492,30.0,25.0,125.0,71,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.6927000033319928
PPO-QP,20260805,300,26,0.0,25.0,151.8740707024821,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,2.0080233772053664e-11,121.87407070247346,30.0,25.0,125.0,70,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.7220000008819625
PPO-QP,20260805,300,27,0.0,25.0,143.53998676708113,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,1.9936348868062243e-11,113.53998676708113,30.0,25.0,125.0,69,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.8716999984462745
PPO-QP,20260805,300,28,0.0,25.0,44.278294483433456,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,0.0,36.778294483433456,7.5,25.0,125.0,68,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.6154999975697137
PPO-QP,20260805,300,29,0.0,25.0,40.42594774911289,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,0.0,32.92594774911289,7.5,25.0,125.0,67,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.9742000004043803
PPO-QP,20260805,300,30,0.0,25.0,43.0091469100755,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,0.0,35.5091469100755,7.5,25.0,125.0,66,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.0491000032052398
PPO-QP,20260805,300,31,0.0,25.0,14.766213773043106,0.0,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,0.0,7.266213773043106,7.5,25.0,125.0,65,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.508400000806432
PPO-QP,20260805,300,32,-19.89853773259825,29.725902711492083,0.0,40.00000001420886,0.0,hard_qp_solution,0.0,0,0,0.0,-45.0,0.0,0.0,0.0,-67.39853774680711,7.5,25.0,125.0,64,-100.0,0.0,-842.1052631578948,0.0,-100.0,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.05390000337502
PPO-QP,20260805,300,33,-13.231020143221786,32.868269995507255,0.0,40.0000000201686,0.0,hard_qp_solution,0.0,0,0,0.0,-64.89853773259824,17.958430303669914,0.0,0.0,-60.7310201633904,7.5,29.725902711492083,125.0,63,-100.0,17.958430303669914,-822.2067254252964,17.958430303669914,-117.95843030366991,3.7999999999999996e-08,0,0,0.0,0,-1,0,2.0074000058230013
PPO-QP,20260805,300,34,15.332602406258625,28.833374625439195,0.0,40.000000012583946,0.0,hard_qp_solution,0.0,0,0,0.0,-58.231020143221784,29.899425982927568,0.0,0.0,-32.16739760632532,7.5,32.868269995507255,125.0,62,-100.0,29.899425982927568,-808.9757052820747,29.899425982927568,-129.89942598292757,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.6931999998632818
PPO-QP,20260805,300,35,-1.3475075066806241,29.153407658275842,0.0,40.000000018005686,0.0,hard_qp_solution,0.0,0,0,0.0,-29.667397593741377,14.56682357666894,0.0,0.0,-48.84750752468631,7.5,28.833374625439195,125.0,61,-100.0,14.56682357666894,-825.9647384192034,14.56682357666894,-114.56682357666894,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.8419999978505075
PPO-QP,20260805,300,36,-13.229943827528354,32.295519317313826,0.0,40.00000001938054,0.0,hard_qp_solution,0.0,0,0,0.0,-46.34750750668062,15.7829491014482,0.0,0.0,-60.729943846908895,7.5,29.153407658275842,125.0,60,-100.0,15.7829491014482,-824.6172309125228,15.7829491014482,-115.7829491014482,3.7999999999999996e-08,0,0,0.0,0,-1,0,1.703400004771538
PPO-QP,20260805,300,37,-57.22991341519234,45.887623753422005,0.0,54.8183917359935,14.808391735993501,phase2_solution,13.808361323657492,1,0,0.2500076030840024,-58.22994382752835,27.722973405792537,0.0,0.0,-119.54830515118584,7.5,32.295519317313826,125.0,59,-100.0,27.722973405792537,-811.3872870849945,27.722973405792537,-127.72297340579254,3.7999999999999996e-08,0,0,0.0,0,-1,0,5.582400001003407
