controller,step,samples,battery_power_mean_kw,soc_step_end_mean_kwh,ramp_mean_kw,ramp_max_kw,ramp_excess_mean_kw,ramp_violation_fraction,ramp_material_violation_fraction,import_excess_mean_kw,export_excess_mean_kw,time_hours,ramp_violation_threshold_kw,ramp_material_violation_threshold_kw
MPC-H24+QP,16,65,1.6762447055251226,122.1057669157088,16.513724834012194,44.99999999189414,0.0,0.0,0.0,0.0,0.0,4.0,1e-09,1e-05
MPC-H24+QP,17,65,-0.2227151538497251,122.011576985912,16.500656017315446,44.99999999386584,0.0,0.0,0.0,0.0,0.0,4.25,1e-09,1e-05
MPC-H24+QP,18,65,5.237057558735424,120.59766620948763,14.620308393563029,44.99999999189412,0.0,0.0,0.0,0.0,0.0,4.5,1e-09,1e-05
MPC-H24+QP,19,65,8.781746512226484,118.26760075490472,13.606735735017589,44.99999999189414,0.0,0.0,0.0,0.0,0.0,4.75,1e-09,1e-05
MPC-H24+QP,20,65,23.096299525859216,112.18962719537745,22.607765686443514,45.0,0.0,0.0,0.0,0.0,0.0,5.0,1e-09,1e-05
MPC-H24+QP,21,65,27.015738947035334,105.08022220925459,22.239332374075083,45.00000003301514,5.079252437448863e-10,0.015384615384615385,0.0,0.0,0.0,5.25,1e-09,1e-05
MPC-H24+QP,22,65,28.61831667321779,97.54908624254928,23.15590688038176,44.99999999500102,0.0,0.0,0.0,0.0,0.0,5.5,1e-09,1e-05
MPC-H24+QP,23,65,27.611230350488462,90.26059541826982,26.37158894670955,45.0,0.0,0.0,0.0,0.0,0.0,5.75,1e-09,1e-05
MPC-H24+QP,24,65,20.46537564150555,84.86177597662186,22.86126869719178,45.0000001189052,1.8293107473255077e-09,0.015384615384615385,0.0,0.0,0.0,6.0,1e-09,1e-05
MPC-H24+QP,25,65,17.510369609052454,80.22947474586478,16.971978299104144,44.9999999938567,0.0,0.0,0.0,0.0,0.0,6.25,1e-09,1e-05
MPC-H24+QP,26,65,16.237156447297757,75.92527394250675,18.02290959055959,44.99999998883863,0.0,0.0,0.0,0.0,0.0,6.5,1e-09,1e-05
MPC-H24+QP,27,65,22.28874138307795,70.01864328556505,19.530200033853458,45.00000027843604,4.283631391479923e-09,0.015384615384615385,0.0,0.0,0.0,6.75,1e-09,1e-05
MPC-H24+QP,28,65,20.683159872792142,64.44811079531937,25.076569786425786,45.00000000000001,1.0931426704001542e-16,0.0,0.0,0.0,0.0,7.0,1e-09,1e-05
MPC-H24+QP,29,65,16.633743717899396,59.85664049789937,21.406100041603334,45.00000000000001,2.1862853408003084e-16,0.0,0.0,0.0,0.0,7.25,1e-09,1e-05
MPC-H24+QP,30,65,19.15586772878687,54.657018199506865,18.46896895934492,45.00000001553027,2.3892720964095833e-10,0.015384615384615385,0.0,0.0,0.0,7.5,1e-09,1e-05
MPC-H24+QP,31,65,19.901343769276522,49.307954172631156,18.794119305823184,45.000000016094326,2.4760501341566293e-10,0.015384615384615385,0.0,0.0,0.0,7.75,1e-09,1e-05
MPC-H24+QP,32,65,13.000012511359298,45.80261274759069,25.809337901077463,45.0000000242065,1.3938911426801216e-09,0.07692307692307693,0.0,0.0,1.5100257017457324,8.0,1e-09,1e-05
MPC-H24+QP,33,65,9.404072266619101,43.19689656120923,14.792778073698793,45.000000050206985,7.724151574760841e-10,0.015384615384615385,0.0,0.0,0.0,8.25,1e-09,1e-05
MPC-H24+QP,34,65,7.575381273193213,41.07750315912886,14.39115792452947,45.000000016127245,2.4811157572912633e-10,0.015384615384615385,0.0,0.0,0.0,8.5,1e-09,1e-05
MPC-H24+QP,35,65,6.392063101109262,39.26567474619226,10.52393013800964,45.00000001603986,4.886393648680846e-10,0.03076923076923077,0.0,0.0,0.0,8.75,1e-09,1e-05
