state_id,day,step,controller,policy_seed,selected_budget,repetition,elapsed_ms,mpc_status,mpc_fallback,qp_execution_path,executed_battery_power_kw,soc_after_kwh,grid_violation_kw
3,240,72,PPO-QP,20260805,90,4,1.5051,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
3,240,72,PPO-QP,20260805,90,5,1.3936,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
3,240,72,PPO-QP-no-penalty,20260805,90,1,1.369,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
3,240,72,PPO-QP-no-penalty,20260805,90,2,1.365,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
3,240,72,PPO-QP-no-penalty,20260805,90,3,1.3653,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
3,240,72,PPO-QP-no-penalty,20260805,90,4,1.4245,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
3,240,72,PPO-QP-no-penalty,20260805,90,5,1.3701,-1,0,hard_qp_solution,45.00000001179805,213.15789472131112,0.0
3,240,72,Rule+QP,0,0,1,1.4813,-1,0,hard_qp_solution,3.9879312485767376e-08,224.99999997707923,0.0
3,240,72,Rule+QP,0,0,2,1.5463,-1,0,hard_qp_solution,3.9879312485767376e-08,224.99999997707923,0.0
3,240,72,Rule+QP,0,0,3,1.4521,-1,0,hard_qp_solution,3.9879312485767376e-08,224.99999997707923,0.0
3,240,72,Rule+QP,0,0,4,1.435,-1,0,hard_qp_solution,3.9879312485767376e-08,224.99999997707923,0.0
3,240,72,Rule+QP,0,0,5,1.4334,-1,0,hard_qp_solution,3.9879312485767376e-08,224.99999997707923,0.0
3,240,72,MPC-H24+QP,0,0,1,9.1056,0,0,hard_qp_solution,-2.4810799243090484e-09,224.99999998816304,0.0
3,240,72,MPC-H24+QP,0,0,2,9.0148,0,0,hard_qp_solution,-2.4810799243090484e-09,224.99999998816304,0.0
3,240,72,MPC-H24+QP,0,0,3,8.8065,0,0,hard_qp_solution,-2.4810799243090484e-09,224.99999998816304,0.0
3,240,72,MPC-H24+QP,0,0,4,8.8991,0,0,hard_qp_solution,-2.4810799243090484e-09,224.99999998816304,0.0
3,240,72,MPC-H24+QP,0,0,5,8.8694,0,0,hard_qp_solution,-2.4810799243090484e-09,224.99999998816304,0.0
3,240,72,NetLoadRule+QP,0,0,1,1.5513,-1,0,hard_qp_solution,4.291739795886265e-08,224.99999997627972,0.0
3,240,72,NetLoadRule+QP,0,0,2,1.5318,-1,0,hard_qp_solution,4.291739795886265e-08,224.99999997627972,0.0
3,240,72,NetLoadRule+QP,0,0,3,1.5243,-1,0,hard_qp_solution,4.291739795886265e-08,224.99999997627972,0.0
3,240,72,NetLoadRule+QP,0,0,4,1.5349,-1,0,hard_qp_solution,4.291739795886265e-08,224.99999997627972,0.0
3,240,72,NetLoadRule+QP,0,0,5,1.4948,-1,0,hard_qp_solution,4.291739795886265e-08,224.99999997627972,0.0
4,240,95,PPO-QP,20260805,90,1,1.5034,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,PPO-QP,20260805,90,2,1.4923,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,PPO-QP,20260805,90,3,1.4718,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,PPO-QP,20260805,90,4,1.5159,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,PPO-QP,20260805,90,5,1.4793,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,PPO-QP-no-penalty,20260805,90,1,1.4933,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,PPO-QP-no-penalty,20260805,90,2,1.4734,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,PPO-QP-no-penalty,20260805,90,3,1.461,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
4,240,95,PPO-QP-no-penalty,20260805,90,4,1.4687,-1,0,hard_qp_solution,99.99999998577502,125.0,0.0
