controller,seed,episode,update,transition,endpoint_minimum_violation_kw,endpoint_infeasible,feasible_state_violation,extra_excess_energy_kwh_step,power_lower_kw,power_upper_kw,ev_lower_fraction,ev_upper_fraction,base_load_minus_pv_kw,lighting_kw,day,step,soc_kwh,target_kwh,remaining_steps,physical_lower_kw,physical_upper_kw,terminal_lower_kw,terminal_upper_kw,terminal_physical_gap_kw,tolerance_kw,terminal_roundoff_repair,terminal_ramp_relaxation,terminal_ramp_gap_kw,terminal_target_conflict_step
PPO-QP,20260807,36,7,3549,0,0,0,0.0,-100.0,-100.0,0.0,2.0061911391403934e-11,100.07914421571272,30.0,180,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,37,8,3645,0,0,0,0.0,-100.0,-100.0,0.0,2.0024992775091733e-11,94.11350934331959,30.0,103,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,38,8,3741,0,0,0,0.0,-100.0,-100.0,0.0,1.986698583422708e-11,100.69676510316452,30.0,2,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,39,8,3837,0,0,0,0.0,-100.0,-100.0,0.0,1.9907727318487408e-11,99.79980532597651,30.0,129,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,40,8,3933,0,0,0,0.0,-100.0,-100.0,0.0,0.0,97.38139037467363,30.0,112,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,41,8,4029,0,0,0,0.0,-100.0,-100.0,0.0,1.9900729212688855e-11,99.05485532187399,30.0,36,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,42,9,4125,0,0,0,0.0,-100.0,-100.0,0.0,0.0,70.68740403315702,30.0,7,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,43,9,4221,0,0,0,0.0,-100.0,-100.0,0.0,0.0,85.8202729697167,30.0,61,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,44,9,4317,0,0,0,0.0,-100.0,-100.0,0.0,1.996851572982905e-11,88.51136863994178,30.0,79,92,30.0,125.0,4,-100.0,19.0,-732.409972299169,-100.0,0.0,3.7999999999999996e-08,0,1,33.94736842105263,0
PPO-QP,20260807,45,9,4413,0,0,0,0.0,-100.0,-89.00828433688305,0.0,1.9979621660818716e-11,96.32255108936515,30.0,15,92,32.610532469990275,125.0,4,-100.0,28.920023385963045,-721.4182566360521,-89.00828433688305,-10.991715663116949,3.7999999999999996e-08,0,1,11.963937094818746,0
